Fecha,Precio
"14/4/2023,4424.02;"
"13/4/2023,4458.87;"
"12/4/2023,4516.76;"
"11/4/2023,4564.24;"
"10/4/2023,4570.91;"
"5/4/2023,4587.31;"
"4/4/2023,4603;"
"3/4/2023,4646.08;"
"31/3/2023,4627.27;"
"30/3/2023,4627.63;"
"29/3/2023,4658.79;"
"28/3/2023,4686.83;"
"27/3/2023,4741.76;"
"24/3/2023,4755.12;"
"23/3/2023,4776.09;"
"22/3/2023,4804.29;"
"21/3/2023,4824.25;"
"17/3/2023,4866.5;"
"16/3/2023,4835.51;"
"15/3/2023,4736.03;"
"14/3/2023,4769.76;"
"13/3/2023,4748.14;"
"10/3/2023,4748.61;"
"9/3/2023,4755.59;"
"8/3/2023,4744.95;"
"7/3/2023,4734.42;"
"6/3/2023,4780.89;"
"3/3/2023,4855.83;"
"2/3/2023,4848.78;"
"1/3/2023,4814.11;"
"28/2/2023,4808.14;"
"27/2/2023,4849.65;"
"24/2/2023,4853.9;"
"23/2/2023,4924.91;"
"22/2/2023,4950.33;"
"21/2/2023,4918.94;"
"17/2/2023,4966.33;"
"16/2/2023,4878.24;"
"15/2/2023,4783.24;"
"14/2/2023,4818.62;"
"13/2/2023,4777.73;"
"10/2/2023,4742.05;"
"9/2/2023,4769.85;"
"8/2/2023,4775.99;"
"7/2/2023,4776.25;"
"6/2/2023,4669.74;"
"3/2/2023,4584.44;"
"2/2/2023,4639.04;"
"1/2/2023,4648.7;"
"31/1/2023,4632.2;"
"30/1/2023,4548.5;"
"27/1/2023,4531.75;"
"26/1/2023,4538.91;"
"25/1/2023,4545.94;"
"24/1/2023,4551.02;"
"23/1/2023,4631.64;"
"20/1/2023,4683.85;"
"19/1/2023,4702.67;"
"18/1/2023,4691.09;"
"17/1/2023,4693.99;"
"13/1/2023,4692.04;"
"12/1/2023,4748.54;"
"11/1/2023,4807.85;"
"10/1/2023,4885.66;"
"6/1/2023,4989.58;"
"5/1/2023,4924;"
"4/1/2023,4842.26;"
"3/1/2023,4810.2;"
"29/12/2022,4765.92;"
"28/12/2022,4766.82;"
"27/12/2022,4745.04;"
"23/12/2022,4760.61;"
"22/12/2022,4761.64;"
"21/12/2022,4769.29;"
"20/12/2022,4781.28;"
"19/12/2022,4802.48;"
"16/12/2022,4797.02;"
"15/12/2022,4778.28;"
"14/12/2022,4791.57;"
"13/12/2022,4836.24;"
"12/12/2022,4815.99;"
"9/12/2022,4825.83;"
"7/12/2022,4818.32;"
"6/12/2022,4812.37;"
"5/12/2022,4767.19;"
"2/12/2022,4779.06;"
"1/12/2022,4815.59;"
"30/11/2022,4809.51;"
"29/11/2022,4840.6;"
"28/11/2022,4881.41;"
"25/11/2022,4875.91;"
"23/11/2022,4914.34;"
"22/11/2022,4958.42;"
"21/11/2022,4994.61;"
"18/11/2022,5022.03;"
"17/11/2022,4922.7;"
"16/11/2022,4801.06;"
"15/11/2022,4806.07;"
"10/11/2022,4914.71;"
